Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
2022-F6790-000077,In Work,F6790,Operations Group,2 OG,,SERE Consumables,"Gov't Purchase Card purchases for required consumable items, initial issue Personnel Protective Equipment, basic initial issue Cold weather gear, mission critical/sensitive support items not categorized as flying hour authorized/approved. 2 individuals assigned but due to such a unique job there ppe cost an Est of 2800 initial and 500 per year recurring. This provides for all combative and jump upgrades and sustainability.","By not receiving our short fall budget and continually not utilizing this program, it would reduce every flyer’s access to high quality training.",,11113F,,011A,E,61950,2603312,,331000,387700,"24,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000078,In Work,F6790,Operations Group,2 OG,,SERE Combatives and equipment items,"Gov't Purchase Card purchases for required Combative Equipment, and all items required for training our flyers.  This provides for all combative upgrades and sustainability. All flyers are required to be trained in Combative and Escape.","Last FY, SERE Specialists started and taught this program. By not receiving our short fall budget and continually not utilizing this program, it would reduce every flyer’s access to high quality training.  If not funded the SERE specialist will be held to bare minimum standards and not be able to keep current in all aspects of their job.",,11113F,,011A,E,61950,2603312,,331000,387700,"6,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000079,In Work,F6790,Mission Support Group,Mortuary Affairs,,GPC - Mortuary Supplies,"Mortuary funds are used to ensure deceased personnel are processed, prepared and buried IAW the wishes to the next of kin, critical documentation of remains and final disposition of Air Force and other eligible personnel, identification of remains, military funeral honors, procedures form search  recovery, procurement of supplies and cell phone also IAW AFI 34-501","Failure to fund would result in inability to process, prepare, transport, and bury AF Service members and their families. 2BW Mission requirements AFI 34-501",A,88716F,,042A,P,61950,2603312,6C,1145Z0,387700,"43,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000080,In Work,F6790,Maintenance Group,2 MUNS,,Safety Items (WRM),"Supplies include but are not limited to: Hazardous labels, metal banning, banning tools, desiccants, stencil machines, fire symbols, pallet jacks, portable eye wash stations, electromagnetic protective bags, and other equipment and tool needed to maintain and upkeep the WRM stockpile","Failure to provide said materials could result in FAA, State and Federal violations in regards to explosive storage, maintenance and transportation.  Additional risks include personnel safety, the prevention of explosive mishaps.",2,28030F,,021D,T,61950,2603312,,34FIE9,387700,"243,400.00",,"243,400.00",,,,"243,400.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000081,In Work,F6790,Maintenance Group,2 MUNS,,Consumables,"IMF (100 personnel) Gov't Purchase Card purchases of required consumables, safety items, restroom consumables not supported by wing custodial contract, equipment inspections/repairs, initial issue personnel protective items (required by AFI 21-101) and mission critical/sensitive support items not categorized as flying hour authorized/approved.  Based on 5yr average spending, $300K, FY requirements to support ALCM mission.","Lack of funding would result in failure of compressors, facility air, and support equipment.  Unable to purchase replacement tools/equipment when they become unserviceable.  Lack of funding will also cause facilities to be unsanitary creating a breeding ground for disease, and eventually illness to employees who will be unable to perform their assigned duties causing mission failure.",1,11122F,,011A,E,61950,2603312,,34A250,387700,"300,000.00",,"300,000.00",,,,"300,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000082,In Work,F6790,Maintenance Group,2 MUNS,,Nitrogen,Requirement to have Nitrogen constantly hooked up to provide the necessary PSI for fuel containment.,Without will not be able to store fuel in support of missile storage. Also will not be able to de-fuel CALCM or Refuel ALCM  as part of STRATCOM requirement,1,11122F,,011A,E,61950,2603312,,34A250,387700,"3,000.00",,"3,000.00",,,,"3,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000083,In Work,F6790,Operations Group,2 OG,,SERE Jump Sim Equipment Mx Agreement,Maintenance Agreement required for the new simulators purchased in FY 2018.  This provides for all combative and jump upgrades and sustainability. The freefall and hanging harness simulators have no maintenance contract.,"Last FY, SERE Specialists started and taught this program. By not receiving our short fall budget and continually not utilizing this program, it would reduce every flyer’s access to high quality training.",,11113F,,011A,E,61950,2603312,,331000,387700,"110,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000084,In Work,F6790,Basewide,Contingency Operations,,Perdiem and Lodging,Supports BTF Missions,Will not be able to support BTF missions this estimates are paid on historical data and estimated long range planning calendar,A,11113F,,011A,E,40924,2101101,6A,339010,,"1,200,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000085,In Work,F6790,Basewide,Contingency Operations,,Consumables/rental vehicles or deployment,Supports BTF Missions,Will not be able to support BTF missions this estimates are paid on historical data and estimated long range planning calendar,A,18534F,,011Z,N,61950,2603312,6A,339010,387700,"440,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000086,In Work,F6790,Basewide,Contingency Operations,,Fuel for Rental Vehicles,Supports BTF Missions,Will not be able to support BTF missions this estimates are paid on historical data and estimated long range planning calendar,A,11113F,,011A,E,641,2601301,6A,339010,387700,"60,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000087,In Work,F6790,Mission Support Group,2 CS,,End of Life Network Equipment Switches NIPR,Annual replacement will effectively maintain mission capability for users of NIPRnet services.  Allows the communications unit to effectively provide first class cyber capability for all users on base.,NIPRNet connectivity in AFGSC HQ Buildings could fail without notice. Switch failure would result in NIPRNet outage for hundreds of personnel for weeks and there are no mitigating actions available.,,33005F,,011Z,Y,63740,3106206,,3A4200,387700,"500,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000088,In Work,F6790,Mission Support Group,2 FSS,,Manpower Program Supplies,"To purchase office supplies for the Manpower section. Office supplies and equipment are used in the acquisitioning process that support the purchase of Barksdale supplies, services and requires toners, paper, folders, tabs and various other organizational tools. Office supplies are essential for Manpower to operate according to Air Force standards in direct support of the Manpower Office ability to provide expertise to all missions of 2BW Mission requirement",Failure to fund Manpower with supplies would result in inability to operate and provide acceptable level of service and performance.  The 2 BW Mission cannot function without Manpower.,2,18560F,,011Z,P,61950,2603312,,3A4110,387700,"8,500.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000089,In Work,F6790,Mission Support Group,2 FSS,,Military Personnel Section/Manpower TDY,"AFIPPS Pay Reconciliation Symposium, Passport Training, AEF Conference, Accelerated Orders Training Workshop","if these TDY's are not funded, key personnel will not be properly trained and educated to meet the Air Force goals and objectives in accommodating Barksdale AFB",2,18560F,,011Z,P,40924,2101101,,3A4110,387700,"19,800.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000090,In Work,F6790,Operations Group,2 OG,,REPLACEMENT MULES,"Mules are required to transport personnel and equipment from the shops to the aircraft.  The mules have an expected lifespan of 10 years, and of the 17 mules assigned throughout 2 OG, 2 mules are (or will be during FY22) over their 10 year life expectancy and require replacement and the repairs associated with these aging mules is far exceeding the depreciated value of the mule and is not cost effective to repair.  The bulk of the mules owned by 2 OG were purchased in 2011 and 2012.","Lack of funding will cause reduced response time to aircraft, due to lack of transportation.  Productive man-hours will decrease proportionally because personnel will spend more time waiting on a ride from the Squadron to the aircraft.",2,11113F,,011A,E,61950,2603312,,331000,387700,"35,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000091,In Work,F6790,Mission Support Group,Base Honor Guard,,GPC - Honor Guard Program Equipment,"Honor Guard Equipment is needed to support 23 personnel for mission requirements. Requirements include uniforms, gloves, alterations, flags, flag poles and document holders. Honor Guard has high turnover between guards member and cannot re-use uniforms, every 3 months we have at least 12 new members that require uniform items (coats, pants, shoes, badges, etc.) Historically, Honor Guard participates in 1400+ events to include military funerals, retirement ceremonies and color presentations at special events. The Honor Guard must also have cell phone coverage to function at Air Force standard levels.",Without proper equipment HG would not be able to participate in in these events and do their job as guardsman.,,18534F,,011Z,N,61950,2603312,,3A45HG,387700,"44,900.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000092,In Work,F6790,Maintenance Group,2 MUNS,,Missile rebasing,"Due to cross over of ALCM and CALCM weapon system components and equipment, these funds are necessary to transport CALCM items (components/equipment) off installation IAW direction given by AFGSC/A4A,W.",Without will not be able to complete AFGSC/AFW mission requirements,1,27323F,,011A,T,46200,2201101,,34A250,387700,"50,000.00",,"50,000.00",,,,"50,000.00",,MORD,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000093,In Work,F6790,Maintenance Group,2 MUNS,,Mission TDY,"Mission TDYs for VACE School, and missile/munitions conferences.","Without funding, will be unable to keep manning requirements for the VACE shop, and without proper manning the sensitive electrical equipment - that simulates flight for the missile systems during maintenance/certification - would be unable to be maintained/calibrated for testing degrading the mission capability of the missiles assigned to the 2d Bomb Wing.  Munitions personnel would be unable to attend conferences which keep them up to date on various matters that occurs in regarding to the mission.",1,11122F,,011A,E,40924,2101101,,34A250,387700,"15,000.00",,"15,000.00",,,,"15,000.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000094,In Work,F6790,Maintenance Group,2 MXG,,Flying Hour - Liquid Oxygen,Required for LOX carts servicing the aircraft for aircrew breathing while in flight.  Ordered twice a month 4500 lbs @ $7.5k x 2 x 12,Aircrews will not have the required oxygen pressure required for while in flight.,A,11113F,,011Y,E,61902,260338C,,XXFISU,387700,"180,000.00",,"180,000.00",,,,"180,000.00",,SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000095,In Work,F6790,Maintenance Group,2 AMXS,,Flying Hour - Munitions  Support Equipment,2 MUNS requires flying hour purchase support from 2 AMXS or 2 MXS to replenish and replace tools or support equipment.  This allows 2 MUNS to sustain their mission capabilities.,2 MUNS will be forced to request flying hour purchases from 2 MXS alone.  This will lead to an increased workload on MXS. This can result in decreased mission readiness for 2 MUNS if MXS cannot support their purchase requests.,A,11113F,,011Y,E,61952,2603313,,XXFISU,387700,"10,000.00",,"10,000.00",,,,"10,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000096,In Work,F6790,Operations Group,FTU,,MILCON Tail - 11th Bomb Squadron and FTU,"New requirement for Furniture to support new facility located in hangar 3. Units listed within the following pages are broken down to segmented offices/classroom within the facility.  There are three leadership positions (CC, and two DAs) and two front office staff in support of the FTU, One Det 13 CC, and the site manager specified with executive furniture.  Other members of the FTU and Det 13 are specified out with modular furniture systems (16 + 7).  Additional members of the CAT/CWD staff are specified out using office system partitions and desk units similar to current configuration (15 CAT, 5 CWD, 2 supervisors).  Classrooms provided for a full use of 66 students (5 SOC, 25 requal, and 36 initial qualification).  Current projector/screen setup is replaced with touch screen TVs.  Facility is contracted for completion in FY2021.  All components will be installed in Hangar 3.","Hangar 3 is expected ready for use in FY2021. No furniture currently in use in Bldg 5454 is expected to relocate to new facility.  New desk/office systems, computers, classroom screens, white boards, and auditorium seating will all need acquisition prior to functionality is reached. Not getting equipment will hinder all students for the b-52 aircraft being delayed and old furniture not designed for new premier facility.",1,27597F,,011D,K,61900,2603301,,33FI04,387700,"650,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000097,In Work,F6790,Mission Support Group,2 FSS,,Military Personnel Section Kiosk Maintenance,Funds needed for Software assurance/maintenance to provide for all TIPS software during the covered maintenance and/or subscription periods. Software updates/upgrades are provided as they are released.,Failure to fund the MPS kiosk with updates and required maintenance could cause backlogs and/or failure of the kiosk system. Member's will have to resort to paper sign-in and not be able to make future appointments through the app or kiosk. This will impede customer and technician quality of service.,2,18560F,,011Z,P,63740,3106206,,3A4110,387700,"9,200.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000098,In Work,F6790,Operations Group,2 OG,,CELLULAR PHONES,"2 OG provides cell phone service for 2 OG Staff and subordinate squadrons.  Cell phones are users include but are not limited to Group and all 4 Squadron Commanders and Deputies, and Chiefs, and other key personnel.",Without wireless communications leadership may not be able to be contacted to make critical decisions.,2,11113F,,011A,E,61950,2603312,,331000,387700,"15,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000099,In Work,F6790,Mission Support Group,2 FSS,,Education Center Kiosk Maintenance,Funds needed for Software assurance/maintenance to provide for all TIPS software during the covered maintenance and/or subscription periods. Software updates/upgrades are provided as they are released.,Failure to fund the Education Center kiosk with updates and required maintenance could cause backlogs and/or failure of the kiosk system. Member's will have to resort to paper sign-in and not be able to make future appointments through the app or kiosk. This will impede customer and technician quality of service.,,84702F,,033C,P,61950,2603312,,3A4140,387700,"5,992.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000100,In Work,F6790,Mission Support Group,Mortuary Affairs,,TDY Mortuary,"Funds requested to move/support “Next of Kin” travel and entitlements IAW AFI 34-501 travel to/from the Installation memorial (if desired) and internment site. Furthermore, funds have been requested to support the initial and on-going training requirements of Active Duty Air Force personnel,  ensuring there is a training Mortuary Affairs technician, at all times, also IAW 34-501",Failure to fund would result in Mortuary's inability to meet Air Force standards in support of 2BW Mission requirements AFI 34-501,A,88716F,,042A,P,40924,2101101,6C,1145Z0,387700,"19,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000101,In Work,F6790,Mission Support Group,MSG/CC,,GPC - Group Commander AWARDS,Group awards and less critical office supplies that directly support day to day operations of Mission Support Group.,Awards would not be purchased. Office operations would be hindered without supplies.,,18534F,,011Z,N,61950,2603312,,3A4000,387700,"15,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000102,In Work,F6790,Mission Support Group,2 FSS,,GPC - Education Center Fire Extinguishers,All of the Education Center fire extinguishers are out dated and in need of replacement,"Failure to fund this requirement would put the Education Center, its patrons and staff at risk to be harmed in an emergency situation.",0,84702F,,033C,P,61950,2603312,,3A4140,387700,640.00,,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000103,In Work,F6790,Operations Group,2 OG,,Mission TDY,"For individuals going TDY for upgrade training schools and conferences. Also for additional local exercise / training events to test the 2 OG deployment capabilities. 2 Hectic Roller, 4 Bussiness effort tankers ansd 2 Bare Base Exercises","Without funding, will be unable to keep manning requirements for equipment verification specialist and up to date on various matters that occurs in regards to the mission. Mission TDYs required for flight crews, A/C sortie generation, aircraft Divert, 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).  Additionally we will be unnable to train like we fight which will create degraded capabilities",2,11113F,,011A,E,40924,2101101,,331000,387700,"1,100,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000104,In Work,F6790,Mission Support Group,Contracting,,TDY,TDYs - 2) TDYs will be for Small Business Specialist to attend Annual Small Business Administration conference/training/workshop/retreat.   There are approximately 4 conferences.  Two are located  within driving range of local area requiring only one night stay. The annual training is a week long training for all contracting squadron small business specialist to attend.,Hinders professional growth and compromises mission excellence.  Personnel unable to stay current to execute position duties.,,18534F,,011Z,N,40924,2101101,,3A4A00,387700,"7,900.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000105,In Work,F6790,Mission Support Group,Contracting,,TDY,TDYs - 3) There will be a World Wide Contracting Conference  attended by the Commander.,Will prohibit the  education/guidance essential to the contracting career field professionals.,,18534F,,011Z,N,40924,2101101,,3A4A00,387700,"3,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000106,In Work,F6790,Maintenance Group,2 MUNS,,PPE,"Personnel Protective Equipment includes safety toe boots, coveralls, work gloves, hearing protection. reflective belts, safety glasses, face shields, camelbacks, and lanyards. Personnel are mandated to wear proper PPE items when performing primary duties (AFI 21-101, OSHA 1910.95, OSHA 1910.136, and Occupational Safety and Health Act of 1970). Some items are one-time issued, however other items have wear-out rates that vary between 3-12 months. Safety toe boots, work gloves and coveralls carry the highest wear-out rate and tend to get issued multiple times to an individual while assigned to 2nd MUNS. Standard cost to outfit one individual initially is $400. Average annual cost per individual for sustainment of PPE is $300 (250 personnel)","Personnel will be affected by weather leading to sickness.  Additionally exposure to loud noise and industrial area hazards can lead to physical injuries or death.  On average, Barksdale receives rain 127/365 days a year and temperatures during the months Dec through Mar range 38 - 59 degrees Fahrenheit.  Without rain gear/cold weather gear, Barksdale would be unable to launch or work on aircraft during these times.",1,11113F,,011A,E,61956,2603327,,34FIE9,387700,"50,000.00",,"50,000.00",,,,"50,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000107,In Work,F6790,Maintenance Group,2 MUNS,,Information Technology,"IT equipment needed to perform daily work task.  Additionally, The TICMS munitions accountability system was designed to be ran using Munitions Integrated Tablets (MIT) and we have several sections that are in need of these tablets.  We are requesting the purchase of 15 MITs ($2,835ea).","TICMS was designed to functions using a MIT.  Features in this system are not available when using a desktop application.  Additionally, work crews must go on-site to storage structures and require MITs in order to read Tech Data and input their transaction.",2,28030F,,021D,T,61950,2603312,,34FIE9,387700,"43,000.00",,"43,000.00",,,,"43,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000108,In Work,F6790,Mission Support Group,2 CS,,Teradici Software Renewal,"The annual Desktop All Access Subscription provides a license for the PCoIP (PC over IP) Management Console Enterprise.  The license for this console expires each year and disables the console.  This console is used to manage the 750 Zero client devices on the Secret Internet Protocol Router Network (SIPRNET).  Specifically the subscription provides access to the latest firmware updates for the Zero Client devices. These updates close security vulnerabilities and provide feature updates needed to operate the virtual desktop environment.  When new SIPRNET tokens are introduced, some are not compatible with the current firmware release. This breaks SIPRNET capability for users that have received new tokens until the firmware for the Zero Client device has been updated to provide compatibility.  The Enterprise Console allows 2 CS to push the updates to all online Zero clients quickly. Without the console, each Zero Client device would have to be manually updated, taking hundreds of staffing hours.  Additionally, without the subscription, the updated firmware may not be available for download, preventing users with new tokens from performing their mission.",Command and control functions will be disabled over SIPRNet and non-classified network. Users will not have internet access base wide.,,33005F,,011Z,Y,63740,3106206,,3A4200,387700,"26,100.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000109,In Work,F6790,Mission Support Group,2 CS,,Secure View Recurring Maintenance,Annual maintenance for Secure View will effectively maintain mission capability for users of SIPRnet services. Allows the communications unit to effectively provide first class cyber capability for all users on base.,SIPRNet connectivity could fail without notice and 200 users will be without SIPRNet.,,33005F,,011Z,Y,63740,3106206,,3A4200,387700,"30,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000110,In Work,F6790,Mission Support Group,2 CS,,VMWare Enterprise License Expansion,"Requirement for expanding our available licenses from 750 to 1250. This will allow an additional 500 “named users” to legally log into the SIPR VDI environment and future Secure View environment during exercises and real world contingencies without delay.  Additionally, since each named user is entitled to operate from 5 devices per named user license, it enables 2 CS to field a NIPR VDI environment if sufficient hardware is acquired without any additional licensing purchase for VMware WORKSPACE ONE. 2nd Communications Squadron upgraded our VMware Horizon View Licensing to VMware WORKSPACE ONE Enterprise.  During this upgrade, the licensing was converted from a concurrent user licensing model to a named user licensing model.  We currently own 750 named user licenses.  This entitles 750 specific people to operate up to 5 devices using this licensing. Since the change in licensing, 2 CS/SCOO has been tracking the number of named users who have been using the Virtual Environment in order to ensure that we are complying with the licensing agreement. In May and October there were exercises that involved different groups of personnel who could be considered surge support.","If the additional licenses are not purchased, the government could be found in violation of our enterprise licensing agreement with VMware. Our existing licenses could be revoked, shutting down our entire virtual environment and preventing access to SIPRNET for all of the users.  Additionally the potential costs to repurchase the required licensing could exceed $500K",,33005F,,011Z,Y,63740,3106206,,3A4200,387700,"240,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000111,In Work,F6790,Mission Support Group,2 CS,,"Enterprise License Agreement Mx, End of Life SIPR/NIPR Network Switches, and SSD Shredder",Annual recurring maintenance cost for VMware Enterprise License Agreement. Renewal supports NIPRnet and SIPRnet services for all Barksdale personnel and the entire virtual desktop infrastructure. Annual replacement will effectively maintain mission capability for users of SIPRnet and NIPRnet services.  Allows the communications unit to effectively provide first class cyber capability for all users on base.,"Failure could disable command and control functions over NIPRNet, SIPRnet and entire virtual desktop infrastructure. SIPRNet/NIPRNet connectivity in AFGSC HQ Buildings could fail without notice.  Switch failure would result in SIPRNet/NIPRNet outage for hundreds of personnel for weeks and there are no mitigating actions available.  Failure could disable command and control functions over SIPRNet.",1,33005F,,011Z,Y,63740,3106206,,3A4200,387700,"65,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000112,In Work,F6790,Mission Support Group,2 CS,,GPC - Operation and Maintenance IT Hardware and Supplies (Recurring),"IT Hardware supplies/equipment/maintenance ($300K) such as: fiber patch cords, patch cables, Zero Client power supplies, Cisco 9300 stack cables, meter patch cables, fiber media converter, cable protectors, laptop battery and charging cable replacements, fiberboard boxes, SIPR/NIPR safe drill/repairs and blue ray burners to update software on servers. Office supplies/equipment/maintenance ($100K- $25K per Quarter) such as: batteries, office supplies, printer supplies, shredder bags for the base shredder, HEPA air purifiers, retirement binders, decoration binders, achievement medals, facility maintenance supplies.",Communications squadron will not be able to maintain communications services for the base.,2,33005F,,011Z,Y,61950,2603312,,3A4200,387700,"300,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000113,In Work,F6790,Mission Support Group,2 CS,,GPC - Operation and Maintenance Supplies (Recurrin,"Office supplies/equipment/maintenance ($100K- $25K per Quarter) such as: batteries, office supplies, printer supplies, shredder bags for the base shredder, HEPA air purifiers, retirement binders, decoration binders, achievement medals, facility maintenance supplies",Communications squadron will not be able to maintain communications services for the base.,,33005F,,011Z,Y,61950,2603312,,3A4200,387700,"100,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000114,In Work,F6790,Mission Support Group,2 CS,,Barksdale PC Tech Refresh,"AFMAN 17-1203 Information Technology Asset Management recommends a 5 year tech refresh rate for desktop computers and a 4 year tech refresh rate for Laptops.  Based on the recommended replacement rate and numbers of devices used by 2 BW/8AF/HQ and associate units the annual tech refresh requirement is 360 desktops and 1071 laptops.  AFWAY precomputed pricing used for the estimate. PC Tech refresh prevents disruption of the base 20% annual tech refresh battle rhythm resulting in exacerbating the current degraded processing capability. Effectively maintains mission capability for users of NIPRnet and SIPRnet services.  Allows the communications unit to effectively replace aging machines providing first class cyber capability for all users on base. Annual replacement will effectively maintain mission capability for users of NIPRnet and SIPRnet, which allows to effectively replace aging machines providing first class cyber capability for all users on base.",Potential exists for 6K+ Barksdale Air Force Base PC users to experience degraded processing competency and degraded mission capability.,2,33005F,,011Z,Y,63740,3106206,,3A4200,387700,"2,100,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000115,In Work,F6790,Mission Support Group,2 CS,,GPC - Operation and Maintenance Cable Bill (Recurring),Operation and Maintenance requirements include Sudden link monthly cable bill for 30+ agencies Barksdale AFB.,Individuals will lose access to weather and current events.,E,33005F,,011Z,Y,61950,2603312,,3A4200,387700,"15,450.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000116,In Work,F6790,Mission Support Group,2 CS,,Non Fly Depot Level Repairable CS,Needed to support non fly DLR items to support  COMM equipment,2 BW will not be able to support command post communications equipment fixes.  Could shut down the command post,1,33005F,,011Z,Y,645,2605202,,3A42P4,667100,"100,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000117,In Work,F6790,Maintenance Group,2 MUNS,,Medical Supplies,Provides for the replacement and replenishment of first aid kits for ten buildings that is a mandatory requirement per AFI91-203.  This is to include supplies for AED that need replenishment.,Without will not have the adequate medical supplies on hand to assist in case of an emergency.,1,11122F,,011A,E,604,2602201,,34A250,667100,400.00,,400.00,,,,400.00,,MED SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000118,In Work,F6790,Maintenance Group,2 MUNS,,Hoist Inspection/Repair,Annual Hoist checkout inspections repairs from damage and wear,No funding will result in impact on funds allotted to other mission requirements.  Will result in an inability to do hoisting of equipment while hoist is not usable.,2,11122F,,011A,E,61950,2603312,,34A250,387700,"6,000.00",,"6,000.00",,,,"6,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000119,In Work,F6790,Maintenance Group,2 MUNS,,GSD Supplies (WRM),"Items needed preform daily task in accordance with AFMAN91-203, AFI90-821 and AFMAN21-201.  Item include but are not limited to latex gloves, shop towels, sanitizing wipes, dust masks, and hearing protection.  Other required items such as MITs, Monitors, upgrades to C2 Comm system, CAC readers and GTAC recharging units which are required to perform daily tasks","In order to provide a sanitary and healthy work environment, these item must be available to all workers.  Additionally, recent developments in the munitions tracking system requires users to employ GTAC Munitions integrated Tablets (MIT) in order to process transactions in Theater Integrated Combat Munitions System (TICMS).  Failure to provide said items could result in an inability to maximize real-time munitions transactions and information provided to HAF/Global Ammunition Control Point.",2,28030F,,021D,T,61950,2602306,,34FIE9,667100,"95,700.00",,"95,700.00",,,,"95,700.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000120,In Work,F6790,Mission Support Group,2 FSS,,TDY - Civilian Personnel Office Program ,"Fundamentals of Suitability & Fitness Adjudication, AF CIV Pers. Training Summit, Air Reserve Technician Training","CIV Pers has had a 100% turnover in the last 12 months, if these TDY's are not funded, key personnel will not be properly trained and educated with the Air Force goals and objectives to accommodate Barksdale AFB .",2,18561F,,011Z,P,40924,2101101,,3A4131,387700,"3,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000121,In Work,F6790,Maintenance Group,2 AMXS,,MISSION TDYS,Mission TDYs required for flying crew chiefs to attend air shows with the B-52 aircrews,"Failure to fund will degrade the Air Force's ability to spark interest in the B-52 aircraft, maintenance careers, and the Air Force overall.  Without funding, the lack of presence at Air Shows would inhibit the Air Force's recruitment abilities",E,11113F,,011A,E,40924,2101101,,34FIG0,387700,"7,500.00",,"7,500.00",,,,"7,500.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000122,In Work,F6790,Maintenance Group,2 AMXS,,PPE,"Personnel Protective Equipment purchases include safety toe boots, coveralls, work gloves, hearing protection, reflective belts, safety glasses, and camelbacks for 735 personnel. Personnel are mandated to wear proper PPE items when performing primary duties (AFI 21-101, OSHA 1910.95, OSHA 1910.136, and Occupational Safety and Health Act of 1970).  Safety toe boots, work gloves and coveralls carry the highest wear-out rate and tend to get issued multiple times to an individual.  Cold/wet weather gear is required for BAFB flight line operations and B-52 missions worldwide.  Cold/wet weather gear such as fleece and APECS items are issued to personnel.  The mandatory wear date for the OCP uniform is April 2021, requiring an additional 100% issue of OCP wet weather gear.","Personnel will be affected by weather leading to sickness.  Additionally exposure to loud noise and industrial area hazards can lead to physical injuries or death.  On average, Barksdale receives rain 127/365 days a year and temperatures during the months Dec through Mar range 38 - 59 degrees Fahrenheit.  Without rain gear/cold weather gear, Barksdale would be unable to launch or work on aircraft during inclement weather and 2d Bomb Wing would be unable to maintain its fully mission capable levels for the B-52.",1,11113F,,011A,E,61956,2603327,,34FIG0,387700,"80,000.00",,"80,000.00",,,,"265,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
